"id","shop_price","shop_title","shop_category_1","shop_category_2","shop_brand","suitableForSkinType","howManyPeopleWantToUse","howManyPeopleLikeToUseIt","howManyComments","shop_comment"
"11","0.0","ALOEMASTERCARE芦荟精华素","面部护理","精华","ALOEMASTERCARE (aloemastercare)",,"698","702","31","挺好的...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，ALOEMASTERCARE芦荟精华素天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油...,天然的成分很温和没有任何的刺痛感一点也不油腻和黏腻不适，非常好用的一款......,香味不是很浓烈,非常舒适淡雅的气味;洁面后,拍在脸上,水水的、润润的;清清爽爽,也没有粘腻腻的感觉!不刺激,非常温和,保湿效果也不错...,不太喜欢...,没有什么紧绷的感觉，淡淡的味道很好闻，目前一直在用夏季用这个产品很舒服，滋润不油，挺不错的.....,作为精华液前爽肤水后使用，肌肤确实很柔软，性价比又超高，近段时间会一直回购的。...,效果真的是第一次用就觉得很神奇.补水和美白是同步的,用完以后的肌肤非常柔软,白皙细滑.很想买大瓶的...,质地清爽，抹几下就能被肌肤迅速吸收，感觉渗透力不错。吸收后不油不粘，那种清爽又补水的感觉极好...,我一般会在没睡好的时候，或者黑眼圈很重的时候涂，这样脸色会好很多..."
"12","0.0","Everyday Minerals圆头散粉刷","化妆工具","化妆刷","Everyday Minerals (everydayminerals)",,"650","698","65","太费了，里面粘的全是粉底液和bb霜，每次清洗看到那么多液体流出来真是心疼。用手上就一点都不浪费，坑爹啊！现在用大湿的美妆蛋啦哈哈，而且最爱的就是，美妆蛋不会画出不服帖的妆容。...,没啥特别滴，就是一散粉刷。暂时没有体会出它的好处来。。。当时冲着EDM的名头买滴。...,我觉得上妆太厚了，也容易留下刷痕，不过便宜，性价比不错...,真的很一般，真的不好看...,我的第一款bb刷，很好用，比手上bb霜快很多很多，比粉扑节省bb霜，所以我觉得是上bb霜的最佳工具，就是最近洗过几次，很粗心用吹风机对着吹，把它的毛吹散了，不好用了...,多少钱？...,这款粉底刷非常好用，刷出来的效果非常好，我很喜欢。...,海淘回来的，刷毛软软的，很厚实，而且不掉毛，可以迅速的刷完粉底，很服帖，算是成功跟风的产品，而且网站当时做活动，价格及邮费都比较优惠，性价比很高。...,确实省时省事，懒人必备啊~刷毛挺舒服的，外表也很朴实耐看，就是得总清洁...你要是能勤奋的总清洁它，值得一买......,有用过，20元转，适合刷腮红、粉饼、散粉（洗得非常干净完全看不出用过的痕迹）；另20元转EDM平头刷，适合刷粉底液；100元转7成新的日月晶采bgbg眼影；20元转小蛮推荐遮瑕膏；有心买请联系旺旺“一只袖子”看图片~，..."
"13","0.0","Akamuti精炼乳木果油","婴幼儿身体护理","婴幼儿润体乳/霜","Akamuti (akamuti)",,"1008","718","10","针对干冷季节宝宝皮肤皴裂而特别研制。显著提高宝宝肌肤抵抗力，增强皮肤抵御寒风、干冷的能力，有效改善皮肤皴裂现象，让宝宝肌肤更加滋润、健康。...,相信群众的眼光...,非常好...,这款口碑不错的...,很棒的产品...,我买的500g的，像快大砖头~买500g的必买有包装的都划算，所以自己还买了好多盒子，自己分装呢~
这个我用来做护手护脚霜了~用了后皮肤可以瞬间变的很柔软！！！
就是用起来有点麻烦，这个乳木果太硬啦，每次都要用力...,还OK啦，无功无过...,凑合用着...,夏初的时候开始用的，发现用在脸上还是有点油(冬天没用过)，于是只偶尔在面膜后涂脸。
但是涂身上效果特别好，尤其是唇部、手肘、手背。原来这些地方起皮干燥的现象现在都没有了。
特别喜欢她的纯天然性，随便涂在...,除了雅漾外用这个不会过敏 这个当面霜用相当好 也不油 只是感觉有点厚重 第2天起来皮肤很好 纯手工的牌子 可听说对欧洲以外的国家要取消代购！唉。。。..."
"14","0.0","ALOEMASTERCARE纯天然芦荟膏","面部护理","面霜","ALOEMASTERCARE (aloemastercare)",,"634","828","44","　　祛斑的方法有很多，我是用的菲泊丝丽的祛斑霜，现在脸上的斑点都去掉没有了...,说明上面说是蚊虫叮咬及皮肤问题时使用，刚好脸上有个有个小痘痘，有点发炎，我就试着涂了一点在上面，能够感觉到芦荟膏的作用，因为那里有点痒痒的，第二天起来痘痘那里因为挤破而有点发炎的地方明显不痛了。还能去...,灰常好...,一直在用这款...,非常好...,挺好的...,大爱他家的东西...,真好，不错...,用了感觉不错...,导游推荐的是另一个牌子，但是我觉得包装看着不顺眼，就买的这个牌子，跟其他人买的比较一下，这个的质地更粘稠一些，刚涂上有点黏，抹着抹着就好了，抹脸、抹全身都成。不含香料，保湿、镇定，效果都很好。..."
"15","0.0","ALOEMASTERCARE芦荟蜂蜜面膜","面部护理","面膜","ALOEMASTERCARE (aloemastercare)",,"976","1090","25","记得这个南非牌子的芦荟胶非常有名 大学的时候有个同学用的 还嘲笑我们的昭贵和完美 切......其实这个貌似是 13年的时候母上大人的同事旅行带回来的 某宝上面卖70大米左右 后面好像有完整的成分表 我记得当时上COSDN...,这款面膜紧致肌肤补水效果很好啊，水水润润的保湿效果不错，质地的延展性也不错，很好的滋润。...,非常棒的产品...,用起来还行...,大爱他家的东西...,就喜欢这个...,喜欢这个品牌...,很好用啊，终于挖到适合我的一款面膜啦。...,感觉ok，确实有效果...,朋友去南非，回来送的礼物，用上之后就感觉滋润，不过不能在脸上敷很久，很容易干，至于什么效果，真没发现，但是感觉不错，天然的。。..."
"16","0.0","ALOEMASTERCARE芦荟滋润去斑霜","面部护理","面霜","ALOEMASTERCARE (aloemastercare)",,"734","1118","31","　　我怀孕的时候也长了妊娠斑，不过我是在哺乳期过后才用菲泊丝丽去除掉我的妊娠斑的，孕期和哺乳期是不建议祛斑的。...,之前就是觉得自个脸那的斑很难去，很顽固。而且找了好多窍门都没折腾好，还有使过一些什么霜都不行，只是看着脸白了些，而且脸蛋却是发红了。后来是知道了[菲泊丝丽]，是它帮的我,去好了斑的，是温和的，没什么刺激的...,祛斑不是小事，不敢轻易的选择，我是用的比较好的去斑的产品。诗博莱确实很不错。这个比那个安全有效多了，且不反弹。你一定要慎重的选择，感觉挺好...,一直在用这款...,特别喜欢这个...,好...,支持这个品牌...,有没有四星期我大概快了！SOSO 真的是就这样吧 斑点淡化没看出来 痘印淡化估计有点作用 用这个 冬天极度缺水！我还配合别的水喷完在擦！要是按说明直接涂 完蛋皮肤更加缺水 缺水会是问题的根源 所以我现在又打算买兰...,还行，就那样...,不错 油皮 只能秋冬用来基础保湿的 有点厚重 搓手热后很容易涂抹 很好吸收..."
"17","155.0","FANCL补湿液","面部护理","化妆水","FANCL (芳珂)","透明","638","938","579","现在闺蜜的图片都不更新啦……这款补湿液很温和很温和，其实啥也没有，纯补湿，价格还这么贵，容量特别小，一瓶最多用一个月，用这个不如用muji化妆水。性价比很低。...,适合敏感皮，就是性价比低...,补水效果非常好，适合干皮敏感肌肤...,太喜欢了  朋友送了一瓶  然后我就去专柜直接买了n瓶，以后家里常备 锁水 保湿 润泽，个人非常喜欢的一个牌子...,跟那个保湿乳配套用 量太少了 性价比不高 而且就仅仅是保湿而已 很多其他品牌都可以做到 不会回购...,小小的一瓶，保湿效果还可以，重要的是无添加用得放心。...,对于单纯补水来说真的很好。因为很难得完全没有负担感。就是太贵了。这么少。..., 好的水实在是太多了，这个就没什么感觉，再加上一个月一定要用完   感觉有点烦 ..., 用过很多很多水 基本都或多或少会过敏 我也不知道为什么... 无奈买了这个 这个 真的不过敏..... 而且也补水  到现在已经回购过无数瓶了  入眼也不刺激  后来也找过替代 至今还没找到.... ...,一段时间只用fancl产品，这款不知道败多少瓶了，当时皮肤还是泛红痘痘肌，后来没有红肿之后觉得这家还是分量太轻，滋润不够，不过其实不敏感，最大缺点就是开封三个月就过期，烧钱的玩意..."
"18","64.0","伊莎珂丝玻尿酸矿物滋养霜","面部护理","面霜","伊莎珂丝 (Esanssy)",,"766","770","25","挺好的...,爱这款...,好...,补水不补油，适合混合型，干型以及极干性肤质使用。没有香味，不会担心香精的副作用。...,随便用用...,凑合用着...,一般我会用温和保湿的产品，用这个没有特别的感觉，肌肤维持现状...,用过的脸霜里最轻的了，挺舒服的没不良反应，我的敏感皮要求就这么简单了...,因人而异 感觉一般...,用这款面霜一点不油腻，在涂抹过程中能感觉到面霜被皮肤吃进去。能锁住皮肤的水分，滋润却一点不油腻！..."
"19","0.0","伊莎珂丝玻尿酸保湿洁面乳","面部护理","洁面","伊莎珂丝 (Esanssy)",,"1046","634","22","跟风买的...,顶这款...,对于洁面产品，我一向不追求什么美白啊补水啊保湿的功效，因为洁面产品停留在脸上的时间很短，只求能把肌肤洗干净，其余功效都不太实际。...,只有味道还可以，但是根本不能洗净毛孔中的脏东西。虽然我每天都很认真的在脸上打圈圈，可是依然觉得效果让人很失望。...,它的泡沫细腻丰富，能清除一天的油污。洁面后皮肤爽洁舒适。...,很温和对皮肤的刺激很小，味道很清新，因为两颊很干而且又有点敏感，这款产品很适合和我一样肤质的MM使用。...,向大家推荐一款好用的（保湿美白 功效）产品，肌肤补水很重要！温度每升高一摄氏度，你的肌肤水分就有可能被蒸发10%！ 所以每天喝足够的水很重要，除了补充身体所需的水分之外，还能帮助新陈代谢。保湿永远是护肤的首...,我现在正在使用，味道很香，不知道是不是化学成分很多，洗过之后脸蛮紧绷的，不喜欢这种感觉，不怎么的舒服。...,看口碑买的，感觉一般般呢...,触感也非常棒，洗完无假滑，非常清爽舒服。..."
"20","88.0","伊莎珂丝舒颜柔护精华素","面部护理","精华","伊莎珂丝 (Esanssy)",,"616","1146","23","非常好...,挺好的...,就喜欢这个...,效果是立马就看得见的。第二天起来感觉精神特别好，皮肤是那种很饱满的感觉哦！...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，伊莎珂丝舒颜柔护精华素天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻...,这是一款彻底的抗衰老产品，但是，它不像其它抗衰老产品那样厚重，它容易吸收，涂完后不仅完全没有厚重油腻的感觉，反而让人觉得很清爽。...,在手部试用了之后，感觉细纹有所减淡这个吸收相当快，用在脸上非常好，吸收超级快，持久用下去脸会变得很光亮，仔细看成分很多都是精油的复合，非常天然，喜欢。...,长期下来会发现皮肤不干了，肤质变的光滑了，无论涂什么吸收都变很好，用了后细纹没有明显增加，总体感觉还是不错...,没啥作用...,不喜欢..."
"21","98.0","伊莎珂丝玻尿酸矿物爽肤水","面部护理","化妆水","伊莎珂丝 (Esanssy)",,"1014","784","27","还会回购的...,挺好的...,跟风买的...,好东西...,顶这款...,非常棒的产品...,喜欢这个品牌...,透明水状质地用于面部能快速被肌肤吸收，不含香料所以也基本没啥味道，用后能快速为肌肤补充水分，肌肤变得滋润有光泽...,伴有花的淡淡香味，非常舒爽人心，当爽肤水或是定妆水都很适合，保湿、平衡，很nice的一款产品哦。...,虽然很滋润，不过却不油腻哦，这款化妆水的质感没有很稀或粘，就一般能够接受的程度啦，反正我就觉得不稀就可以了..."
"22","0.0","伊莎珂丝纳米臻白洁面乳","面部护理","洁面","伊莎珂丝 (Esanssy)",,"1100","702","38","好...,一直在用这款...,大力推荐...,挺好的...,听朋友介绍的...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，伊莎珂丝纳米臻白洁面乳天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻...,没啥作用...,向大家推荐一款平价又好用的伊莎珂丝纳米臻白洁面乳，性价比很高，效果绝对可以媲美大牌。...,我是敏感性皮肤，用这款洗面奶洗脸洗的很干净，能去除残留的彩妆，不刺激皮肤，喜欢！...,很温和的洗面奶，泡沫也是很丰富的哦，用完后并不紧绷,至少比我之前用的品牌没那么紧绷，洗的也挺干净的，但是收缩毛孔啊美白的效果但是没怎么看出来。..."
"23","98.0","伊莎珂丝玻尿酸精华保湿乳","面部护理","乳液","伊莎珂丝 (Esanssy)",,"940","944","25","精华的重要性主要体现在能够集中补养肌肤，让肌肤得到最充沛的养分
众所周知玻尿酸的作用就是让皮肤保湿能力加倍，让他更加透亮
这款精华虽然很粘稠但是一抹就会化成水，让皮肤享受水润的滋养，很不错的精华液...,大爱他家的东西...,特别细腻，使用后皮肤特别滋润，自己也是使用这个牌子很多年了，当然这期间也尝试过其它的一些品牌，比较之下，还是最喜欢它，我的皮肤偏干性，这款乳液特别贴合皮肤，使用后一整天不干燥，皮肤润润滑滑的，真的很爱...,我的皮肤有点暗黄，用了它感觉很舒服，很透气。皮肤滋润了。...,延展性很好，很滋润，保湿效果好。...,具有优异的稳定性，直达肌肤深处，滋润肌肤的同时，引导理想透明感，滋润美白效果很是不错呢，赞一个哈...,用了之后也不会觉得很油腻，下面最怕出汗后防晒霜很油腻的感觉，这款用起来不油腻，很清爽。...,乳液延展性好，很好推，抹在脸上一点都不油腻，肌肤吸收也很快，可以说是保湿又清爽。...,不是很浓烈，喜欢，而且吸收的很快，一点都不油腻。但是吸收完后的皮肤并没有那么的滋润柔滑。大爱，用完后，还会再购买...,宝宝的皮肤前几天有点干燥，用了窧乳液以后发现了它的效果还是挺好的，它的成分非常的特殊，而且涂抹在身上也非常的容易吸收而且用着感觉到清爽并且它还一点也不油腻，让我的宝宝的每一寸肌肤都非常的光滑的。..."
"24","101.0","伊莎珂丝茶因子净痘原液","面部护理","精华","伊莎珂丝 (Esanssy)",,"892","870","29","好东西...,凑合，感觉不错...,灰常好...,很赞...,用了感觉不错...,大力推荐...,吸收度很好，抹上去立刻就吃进皮肤里面了，用后滋润程度有所改善，抗衰老的效果还没看出来。...,用起来比较舒服，不会觉得干燥或是油腻的好产品！...,没用过，但是听评价非常之高，一直在找一款美白及改善肤色的精华液。...,向大家推荐一款好用的（保湿美白 功效）产品，肌肤补水很重要！温度每升高一摄氏度，你的肌肤水分就有可能被蒸发10%！ 所以每天喝足够的水很重要，除了补充身体所需的水分之外，还能帮助新陈代谢。保湿永远是护肤的首..."
"25","0.0","Akamuti有机椰油乳脂","身体护理","润体乳/霜","Akamuti (akamuti)",,"732","602","17","相信群众的眼光...,用起来还行...,滋润效果很好，用来抹手抹身子都蛮好的~涂完有点粘腻，但过会就吸收了。。除了味道，其他都好...,味道比较怀旧，性价比也挺高，就是不是很保湿，洗完澡涂完还不错，隔天早上就干了...,保湿效果很不错，延展性也很好，用后感觉肌肤水润了不少，还不起皮了...,擦在身上很润 感觉比我之前用的所有的体乳都要好用 当然价钱也是千差万别 洗过澡之后擦身体睡了一觉香味...,好...,这个我是特地试用了几天才来评价的，效果不错哦，保湿不油腻，而且香气很好闻，不是那种很浓烈的香，很有夏天的感觉，比香水更自然的香味，呵呵，超爱的，快来做个滋润又清新的香气美人吧！...,一般，还行...,香味很特别的，挺滋润的。很水润和很保湿，美誉刺激，不担心皮肤上有小红点~质地清爽，吸收速度很快，香味很舒服哦~~大瓶的，能够用很久哦~~..."
"26","0.0","伊莎珂丝时空逆转胶囊","面部护理","精华","伊莎珂丝 (Esanssy)",,"732","820","33","我相信口碑...,特别喜欢这个...,我很喜欢...,很赞...,支持一下...,用了感觉不错...,挺好的...,这个不错的...,用后感觉非常不错的一款精华，精华的质地足够细腻，能够很容易推平，很快就渗透进肌肤里面被肌肤细胞所吸收了...,这款精华液吸收很快，能够迅速渗透至肌肤里层。..."
"27","0.0","Akamuti矿物质楝油面膜","面部护理","面膜","Akamuti (akamuti)",,"838","728","23","这款口碑不错的...,挺好的...,感觉不大...,第一次使用Akamuti这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！...,向大家推荐一款平价又好用的Akamuti矿物质楝油面膜，性价比很高，效果绝对可以媲美大牌。...,第一次接触Akamuti矿物质楝油面膜，效果让我很满意，大家都知道护肤是一个循序渐进的过程，长期坚持才能看到效果。肌肤已经产生的问题不会擦了东西就立竿见影，只能慢慢改善，总体来说这款产品是非常值得试一试的。...,就那样吧，一般...,朋友送的...,非常适合我这个年龄的皮肤，用后皮肤水润白皙。赞一下！...,面膜，对我来说有多重要？就像阳光、空气、食物和水，离开它们，我的生活将失去生机和活力！..."
"28","0.0","Akamuti玫瑰滋养面霜","面部护理","面霜","Akamuti (akamuti)",,"606","804","40","面霜质地比较厚重，挺难推开的，加热一下效果会好，味道是我比较喜欢的，总体使用效果不错。...,巧妙融合“双重玫瑰”, 卓著驱退肌肤干燥、粗糙无光气色，升华肌肤柔滑粉润至美华韵，柔滑水润质地，于肌肤吸收循环极为活跃的晚间从内到外浸透每一寸肌肤...,非常好...,就喜欢这个...,推荐给大家...,大家好才是真的好...,发发一些正在使用的面霜护肤产品，小白鼠各种试用，总结最好的经验给大家。...,买了一套它的东西后迫不及待地就用上了，涂在脸上吸收确实还可以，可能现在是夏天的缘故吧，总感觉有点厚，脸不是很清爽的感觉,好东西啊，我看来还是别糟蹋它了，留到天凉点再用。...,Akamuti这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。...,有很好的护肤效果，挺滋润和保湿的，刺激不大，但是皮肤又破损的时候不要涂。..."
"29","0.0","Akamuti非洲黑皂","面部护理","洁面","Akamuti (akamuti)",,"662","1182","26","这个皂没有香味，皂体很软，软的有点像橡皮泥。但也没有夸张到一捏就变形的地步~手打湿了，在皂上蹭几下，在脸上揉揉就有泡沫了。泡沫挺丰富。不过打出来的泡泡居然是黄色的哦~对油皮还不错，挺舒服的。这一块不小呢...,顶这款...,就喜欢这个...,第一次接触Akamuti非洲黑皂，效果让我很满意，大家都知道护肤是一个循序渐进的过程，长期坚持才能看到效果。肌肤已经产生的问题不会擦了东西就立竿见影，只能慢慢改善，总体来说这款产品是非常值得试一试的。...,第一次使用Akamuti这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！...,向大家推荐一款平价又好用的Akamuti非洲黑皂，性价比很高，效果绝对可以媲美大牌。...,质地很好涂抹，用起来有提亮肤色作用。...,味道好闻，洗完脸后不会觉得很紧绷。...,本人面部属于敏感肤质，偏干燥，角质层比较薄，风大易过敏。此款产品洁面效果还可以，挺温和的，不会引起过敏，不喜欢它的气味，能打出泡泡，泡沫较大，比起丝塔芙，没有洗不干净的感觉。总体来说还可以吧...,还行吧..."
