,shop_comment
679,"味道有一点奇怪，但是能接受，买它主要是瓶子美。...,一直在用这款...,相当不错！有好感，会再买来用哦。...,味道有点呛...,喜欢这个品牌...,很女人的香，虽然说是淡香水，但我觉得也挺浓的，味道一般吧，就瓶子好看...,轻轻的喷洒在围巾上面一点会持续好几天都会有淡淡的香味，喜欢。...,没用过这么难用的...,看起来不错！一定要试一下！...,不淡不浓，优雅里面带着诱惑，并且我怎么闻都不厌倦~..."
680,"我很喜欢...,就喜欢这个...,我很喜欢...,挺好的...,香水不仅会喷在手腕上或者耳后，连包包和衣柜中马儿也会放敞开口的香水。我喜欢我所有用的东西都和人一样香香的、暖暖的。...,不推荐这款...,他的味道我很喜欢，我的好多朋友都说很好闻呢。...,还可以，一般...,在香港买的，比内地便宜多了，这带了3瓶回来，一抢而空，妹妹、小姨、还有婆婆都很喜欢这个味道，还怨我这么便宜怎么不多带些回来呀，这款味道高端大气。...,平平吧..."
681,"大力推荐...,爱这个宝贝...,非常棒的产品...,看起来不错！一定要试一下！...,超喜欢，味道比较中性，喜欢冬天的时候往衣服上喷一点，冬天的大衣没有天天洗，你可以从衣服上清楚地闻到分辨到前味中味后味……后味留香持久，余韵悠长……两周不洗，两周都能闻到后味。...,留香不是那么持久，但本来就是淡香水嘛...,看到这个瓶时，就觉得爱不释手，可爱而特别。用过后，感觉味道也不错，不是很香艳，挺适合像夏天这样天气比较热的时候使用的。...,顶这款...,不淡不浓，优雅里面带着诱惑，并且我怎么闻都不厌倦~...,气味不刺激，不过分，不腻，不晕，不张扬..."
682,"非常好...,这个不错的...,全家人都可以用的一款节目产品，真心感觉很不错呢，而且也非常经用。...,他的设计很个性哦  喜欢...,起泡力比较好，气味也比较好闻，只是洗完有些偏干，不过我用什么洁面乳都干，只是这个有些紧绷，可能油皮会更爱些。...,偶和同事网购的里面，她败了这个，呵呵也强行体验了几回，没看出什么特别的，只是吸收得不错，而且香味也不错。...,效果比较强悍的洁面，清洁效果就不用说了，这是洁面必备的，其实清洁的好坏也没有什么太大的区分，主要是洗完了脸部不紧绷呀，这个很重要呀，大冬天的洗完脸都快成凤眼了真是受不了，这个洗面奶真的很强悍呀...,深层洁净肌肤,有效提亮肤色,提高肌肤水润度,肌肤日渐水润白皙。美白滋润，效果很好，喜欢！...,感觉非常舒服，具体我也不会说，就是感觉干净，还很滋润.脸上象被去了角质层一样明亮了许多，对护肤品的吸收也特别快了，感觉挺好，还会用下去。...,我相信口碑..."
683,"寻找保湿效果好的化妆水一段时间了，在朋友推荐下用的这款，好评一个。清爽，保湿效果好，我懒人一个，经常涂个水，爽什么的懒得涂了，直接睡觉，早上起来皮肤不干啊啊...,很实惠的一款水水啊，玫瑰的香味，滋润度很好啊，质地的延展性也不错啊，很好涂抹，嫩白补水。...,挺好的...,发发一些正在使用的化妆水护肤产品，小白鼠各种试用，总结最好的经验给大家。...,痘肌大作战，油性肌肤爱用品分享心得，摆脱痘痘困扰，祛痘从基础护肤开始。任何护肤品都得试用后辨好坏，使用维蕾德野玫瑰爽肤水一周后效果还是令人很满意哒！使用前脸部皮肤干燥暗沉、伴有痘印烦恼；连续使用一周后...,很喜欢这个味道，这次又来买一大瓶的，味道一样棒，个人很喜欢...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，维蕾德野玫瑰爽肤水天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻，让...,觉得现在用正好...,一直在用的水水，比其他水水要浓一些，出来的味道很清新，吸收很快，会一直用下去。...,大爱的一款水..."
689,"用过这个眼膜，配合欧雅泊思眼霜，去黑眼圈眼袋效果很好，我一直都是这样用的...,我的浮肿型的眼袋，一次就见效果了.刚贴上去下眼皮就有一种酸酸的感觉，第二天起来眼袋明显有缩小.从第二盒开始没有看到什么效果了，但是不敢停啊，回购几次了，平时用别的眼膜，偶尔用用这款。...,我觉得不好用，根本坚持不到第二天早上就拿下来了，因为网状的设计感觉带在眼下特别痒，不舒服，根本无法入睡，基本上带二十分钟左右我就得拿下来，效果应该不错，就是使用感太差了...,眼部肌肤又薄有脆弱，更早的对其保养呵护非常重要！VIICODE美国高端眼部护肤品牌，在家即可享受SPA级奢宠护眼体验！黑眼圈、眼袋、细纹、松弛、皱纹、干纹、浮肿、肤色不均这些眼部问题，VII夜间痒眼贴都可以解决！一...,有一种幸运叫做运气来了挡也挡不住
开森
一直很心水VII这款产品
没想到运气棒棒哒在G20之前收到
完全是惊喜惊喜

很干净的包装
内置也非常的给力
有点小风琴的赶脚
不管是外包装背面还是内包装背面
都贴心的描述了如...,对于这款眼膜早已钦慕已久，可是碍于他的价格，还是有点趋之若鹜，一是价格有点高，二是不知道这款到底好用不好用，所以一直没有下手，这次有幸能够抽到试用真是太幸福啦～
早知道这是一个美国牌子，之前也有了解过一...,

都说眼睛是心灵的窗户，闪亮的双眼，绝对能提升颜值啊。不过由于每天对着手机，电脑，外加年龄增长，眼部很容易出现黑眼圈，细纹，松弛，成为泄露年龄的头号杀手哦。呵护娇嫩的眼部肌肤，很推荐VIIcode夜间氧眼贴...,老化是自然规律，虽不可能阻止，但我们仍能通过后天的保养让老化现象不那么突出。以前的我注重于美白，现在更注重抗老修复。大家都知道欧美的抗老护肤品优于亚洲。而日系美白防晒优于欧美。所以抗老产品首选欧美系。...,不错，太贵了，要一段时间才能看到一点点效果...,种草很久，最近用了一盒，晚上睡觉贴那么久颇为痛苦，效果一般吧……没有太大改善，拔草拔草~！..."
690,"怀孕期间使用，这个牌子比较放心。包装很简单，塑料质量很好，卡口挺紧。每次转出来的也不多，比较紧。膏体厚厚的，但是比较容易涂开，很耐用，不油腻。味道是奶油混合些许玫瑰，自然清新，不像人工香精。临睡前涂一...,很好用的润唇膏，它属于膏体偏厚的，不过滋润度很好，一点也不油腻，很滋养。这个季节用非常补水，主要是成分好，安全。而且还含玫瑰精油，很适合嘴唇很容易干的人使用，我已经快用完一支了，因为它是母婴品牌，所以...,刚开始买是相信这个牌子的东西应该质量不会差，但是用了就觉得坑爹，你说我花了4块5你也应该给我4块五的效果吧，结果味道一般，滋润度一般，什么感觉都一般，膏体还特别厚不易吸收，还没有rossmann 自产的不到一块钱...,味道超级好闻，很滋润，能迅速抚平干燥起皮。不会把嘴涂得油油的，很亚光的感觉。有机的吃到肚子里也完全不必担心。美中不足是外包装略简陋了点，把膏体拧出来涂着涂着就自己缩回去了。东西好就不要求太多了，会一直...,不会很油，膏体偏硬，味道很好闻，不喜欢涂上嘴巴很油的可以收一个~...,涂在嘴上很舒服，这个品牌也是我一直喜欢的...,干皮的救星哦，用过之后嘴巴可以变得饱满有弹性...,味道甜甜的，涂完后心情也变好了，该有全都有...,包装设计都很得我心，外貌控们可以选择...,很赞的东东，清爽的同时又不失水润，我的唇部也不像以前那样看上去干燥的感觉了..."
694,"爱这个宝贝...,想试试.不知道我的皮肤可以用吗?...,我觉得挺好的，用起来很舒服，不过我的皮肤状况不好，还看不出有太大的改善。。。...,泡沫很细腻，用完之后不紧绷，滑滑的很舒服，味道也不错。真正是物美价廉啊！...,洁面效果很好，很干净，很彻底，非常好用！...,味道很好，很自然，很纯正，浓而不腻，淡而不散。这只洗面奶也是如此。...,和大家一样，用过他家的小样，很不错，当然银子也不便宜。在同类中比较一下，如果性价比胜出，就考虑购买。选择合适自己的东东，真是一个马虎不得的事情。每个mm都成了一只一只的小白老鼠了。化妆品公司应该偷笑了吧...,想试试啊...看评论都不错的样子.......,听说过，还没有用过~~~~~...,跟风失败了..."
695,"大家好才是真的好...,买了他们家的奥图玫瑰，有机熏衣草，橙花水，很好用，镇定皮肤补水，闺密网上怎么就这三样阿？太out了吧，天天能别光慌着在首页赚广告费了吗，好多品牌的新产品都搜不到，上次去买在闺密口碑很好的阿玛尼粉底柜姐说早...,多数皮肤网友用滋润型会更加合适，滋润型的水本身并没明显的香味，质地稍显稠一些，不过很容易被皮肤所吸收。...,不是我的真爱...,不喜欢...,冬天的时候用着比较滋润，但是水不是粘稠那种，味道比较清淡，但是没有回购的打算，无功无过的东西...,向大家推荐一款好用的（保湿美白 功效）产品，肌肤补水很重要！温度每升高一摄氏度，你的肌肤水分就有可能被蒸发10%！ 所以每天喝足够的水很重要，除了补充身体所需的水分之外，还能帮助新陈代谢。保湿永远是护肤的首...,保湿效果很好，尤其是在秋天这个特别干燥的季节。我属于干性皮肤，一到秋天脸部开始起皮，崩崩的感觉很难受。...,润润的，很保湿，还有修护功能，能渗透角质层，调养肌肤。易吸收，温和，补水，值得入手...,连同乳液一起买的。喜欢这种包装，而且味道很好，幽幽的香气。滋润效果很好，很保湿。..."
696,"感觉不大...,一直在熏香使用，空气中弥漫着精油的味道，闻后很舒心，整个人都得到放松。...,皮肤滋润柔软，年轻有活力，可延缓衰老； 有柔软肤质，保湿抗皱的作用，很喜欢他的保湿功效。...,用精油按摩了一会脸部，很舒服。它还能松弛身心紧张，缓解不安和急躁的负面情绪，让心灵平静、并且能改善睡眠！最主要它非常温和哦！要强韧坚实的不仅仅是我们的肌肤，还有内心.........,这款精油很小一只啊，很好的滋润肌肤淡化痘印，脸上的痘痘红肿效果很有效果啊，那棉签占取适量擦拭即可啊，味道不是特别喜欢啊。...,平平吧...,油质清爽且延展性好，油而不腻，轻盈好吸收；使用后令肌肤呈现润滑、细腻感。...,我是在她家官网买的~买了很多种单方精油·薰衣草的官网很便宜啊~只是邮费比较贵~但是摊下来还好·当时还买了有机奥图玫瑰精油~虽然这里没有但是我还想说说·超级纯正的味道~价格在玫瑰精油中算便宜了吧·2ml,22.05英...,很喜欢这款产品的外形设计很有好感，设计很独特，很可爱很小巧。是精油的典型包装。因为精油里面的成分容易受到紫外线照射而发生变化，所以一般盛装精油的瓶子都是用深色的。精油的用量每次2-3滴就足够了。...,主要是月经、睡眠不好、工作压力、熬夜、内分泌等等这些问题导致长痘痘，不管白头还是红的我都会用薰衣草精油，一般我比较手欠，嘻嘻，长了痘痘不是挤掉了就会抠掉，因为长着很不爽有没有。大概一个星期吧坚持用每天..."
697,"上学时必备的产品，每次滴完都有一种涨涨的爽快感，闭眼让眼药水停留在眼球五六秒。睁开眼后双眼极其舒缓明亮...,喜欢...,刚开始会觉得很干涩，有一点刺，过一会，眼角就不痒了。大概是有一点舒缓的作用，很舒服。这款滴眼液和其他眼药水给眼睛的感觉是很不一样的，我也不知道怎么说，就是很干净利落没有太多添加剂的感觉。很清爽。不错，...,现在回想，大约是某个时候图新鲜，就尝试了一下绿瓶乐敦之外的款……倒是没什么后悔的，但是的确存在感不强，如同倩碧的all about eyes一样都快用完了仍旧无处下嘴。 1.质感。不凉，不刺激，滴进去感觉就像滴进一滴水...,我眼睛不舒适的时候点这个还是会有效果，可是老觉得鼻子那边苦苦的，就跟进鼻子了一样，舒缓效果还是不错的。...,刚开始用的时候会觉得涩涩的，后来就没有了，喜欢睡前滴上。一个月内用不完的话，我喜欢用它泡纸膜敷眼，会觉得眼周麻麻的很舒服，外用舒缓眼疲劳也是有效的。...,怎么购买？？？能给我一个连接么？？。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。...,很好用啊，成分安全，刚开始眼睛会刺痛，但后面就不会了，用完这个，眼睛会很舒服，可惜保质期短...,确实是刺痛，用了快一个月，还是会刺痛，反倒害怕用这个眼药水了（囧……，还是用回similasan的，虽然价格贵了一倍，点了舒服最重要了...,用了以后眼睛会涩，涩完就舒服了。开封后一个月内要用完，很难啊。。据说用这个眼药水敷眼睛会去黑眼圈，我敷着没见效果。..."
698,"我相信口碑...,非常好...,一直在用这款...,的确是非常自然的一款粉，连我老妈都爱。我觉得唯一不会吸引我在买的原因就是控油的效果不太好。...,这款粉饼的粉质细腻，非常的轻薄，使用以后妆感自然，适合日常使用。...,这是一款很赞的粉饼，包装很漂亮，使用感觉也不错，重要的是能够起到的作用，而且颜色很好，用了之后很有精神的感觉。...,由你娇嫩两用粉饼是由你重点推出的彩妆，具有、等功效，营造容光焕发的健康妆容，同时不给皮肤带来负担。...,这款粉饼一上市的时候，就已经很心水了，因为看到这款粉饼的遮瑕效果不错，就很心动，自己脸上有讨厌的斑斑点点，真的很影响整个妆容效果呢，所以有一款好的遮瑕粉底真的是省心又省力呢。...,在粉底液之后扫在皮肤上，让妆容更加自然，持久，起定妆作用。 在使用之后，摸上去比较光滑，但是很容易就掉粉了，还需要随时补妆。持久度不够，流汗的时候最容易花妆。...,近期超爱的这个由你娇嫩两用粉饼，质地细腻，又方便使用，搭配正流行的颜色，妆感光亮饱满！..."
699,"灰常好...,一直在用这款...,非常棒的产品...,大力推荐...,吸收得特别快，清爽又补水，用完脸上特舒服，保湿的效果能持续一天呢。...,肤质得到前所未有的改善，触感细腻柔滑，肤色纯净匀亮，由内而外绽放于生俱来的肌肤之美。...,用后很贴肤，而且也自然，我喜欢 ...,长草了。大家用得好不？。下次试试...,我很喜欢这一款,这是我一个朋友推荐的.刚开始,还是抱着试试看的样子用的.谁知效果不错....,我是春天时用的  很润 用完一瓶真的 有 白蛮多..."
700,"由你旋转唇彩笔是很好用的哦，使用很方便，做活动的时候入手是很划得来的，颜色是很透亮的那种，通透的感觉很好看，味道很好闻，一点都不难闻的感觉，非常喜欢的这款产品，使用之后嘴唇感觉显色很容易，也很显气色了...,支持这个品牌...,好东西...,喜欢这个品牌...,还行吧...,由你的口红产品，从来都是我的第一选择。首选这款旋转唇彩笔也是有它的道理。这款口红手感非常好，颜色也很正，适合不同不同肤色的JMS...,上唇的效果很好，亮闪闪的！ 持续时间很长，建议用专业唇部卸妆！...,颜色很闪亮，而且非常滋润，可以保持大半天，即使没有卸妆，也不会感觉不舒服。...,我的口红比较多，大部分都是冲着包装去的，这款由你的旋转唇彩笔质地很好，又方便补妆。这款口红真的很赞！上妆在效果很好！...,近期超爱的这个由你旋转唇彩笔，质地细腻，又方便使用，搭配正流行的颜色，妆感光亮饱满！..."
701,"真的超好用！超赞，强烈推荐！...,非常好用的乳液，吸收很快，很温和的一款产品，很喜欢。...,精华成分不多不少，正好用完的，不会感觉太多，太粘腻了，不好吸收，用完肌肤比较饱满，但是也不会立竿见影的。价格比较亲民，可以连续用三次，感觉肌肤可以达到一定的亮白效果，调整肌肤的状态。没有什么浓烈的香气...,非常好...,支持一下...,非常不错的...,相当不错！有好感，会再买来用哦！...,这款乳液感觉好多了，首先质地是标准的水乳状态，味道淡淡的清新，很舒服，涂抹起来很顺利，皮肤吸收的也特别的快，总体感觉不错，值得购买啊~！！！...,乳液可以涂抹全身，吸收得挺快，不会黏黏的，而且挺滋润的。涂上去像水一样，清清凉凉。吸收得特别快，润滑润滑。...,乳液的质地比较粘稠~性质比较温和~滋润效果不错...无味道，擦到脸上没刺激，不刺痛。时间长了有点点油腻，因为最近皮肤太干，还起屑。估计会长时间用这个了·..."
702,"灰常好...,凑合，感觉不错...,挺好的...,大力推荐...,这是一款很赞的散粉/蜜粉，包装很漂亮，使用感觉也不错，重要的是能够起到的作用，而且颜色很好，用了之后很有精神的感觉。...,我的散粉/蜜粉比较多，大部分都是冲着包装去的，这款由你的晶透梦幻蜜粉质地很好，又方便补妆。这款散粉/蜜粉真的很赞！上妆在效果很好！...,一般打完底再用这款散粉，妆面就很自然。不会一眼就看出来上了粉。...,这款口碑不错的...,妆面不晕染，清爽干净！配合刷子，用起来得心应手！...,这款散粉效果真的不错，颜色自然，而且有光泽。..."
703,"力挺这款...,还行吧...,就喜欢这个...,真好，不错...,再也不买了...,粉质非常细致，抹上后肤色均匀，提亮肤色，看上去健康白皙，而且透气性好，不堵塞毛孔。用的时候注意不要大手大脚，撒粉就可惜了。...,使用之后妆容更加持久好看，肤色看起来也更加均匀了，皮肤很有光泽，很光滑的感觉。控油效果也是蛮好的。...,凑合用着...,是我一直期待以久的东西。粉细腻，服贴，而且还有一点美白哦，注意是可以修饰美白哦，哈哈，大爱。...,我的散粉/蜜粉比较多，大部分都是冲着包装去的，这款由你的造型颊彩质地很好，又方便补妆。这款散粉/蜜粉真的很赞！上妆在效果很好！..."
704,"顶这款...,相信群众的眼光...,非常好...,支持一下...,挺好的...,赞一个...,由你的造型眼影EC305让人印象非常深刻，从上市起就一直长草，用起来感觉很好，的质地，效果也不错，显得气色很好！...,粉细，服帖，色靓，设计美，好味道，一个字，赞！...,颜色很好看，很亮，比较自然，很好看。...,近期超爱的这个由你造型眼影EC305，质地细腻，又方便使用，搭配正流行的颜色，妆感光亮饱满！..."
705,"赞一个...,相当不错！有好感，会再买来用哦！...,这个防晒还可以，比较强烈的阳光下，每小时都补涂一下的话，也不会有皮肤晒伤的发生，作为防晒霜来说，已经是可以了。...,平平吧...,不担心有副作用，我的亲生体验效果是轻薄、清爽、很透气。包装大气，很多细节的处理都很到位，值得相信的牌子。...,好东西...,很赞...,推开也不是很容易。但真的对它含有的成分很满意，有好几个能美白的成分呢...,还可以，一般...,真的超好用！超赞，强烈推荐！真的很不错..."
706,"大力推荐...,对于我来说这款防晒霜还是有点油，不够清爽，外包装很好看，应该说这个品牌的包装都很貌美。...,很基础吧...,好...,没那么好用...,永远力挺他们家的东东。。就是值得花钱去买。。去收集每一个美丽的包装。。...,用了很惊喜...,大家好才是真的好...,薄薄一层，延展性很好，又能改善肤色...,赞一个..."
707,"没有上脸，就用来当身体防晒涂胳膊了 优点：没有味道；看着膏体厚重涂上却不油腻； 缺点：防晒效果一般。下午两点涂的，五点出门坐车，在车窗一面坐了20分钟就晒黑了...,清爽 不油腻，很适合混合皮的mm使用啊，肌肤使用后不负担，防水防汗效果不错，提亮肤色效果很一般啊，...,买来当身体防晒的，很清爽，没什么味道，像是清爽型的身体乳，也不会泛白。不知道防不防水，就是指数不是很高...,用了感觉不错...,这个无香料的防晒霜初看配方觉得不错，可惜却含有视黄醇棕榈酸酯（维他命A的一种）含量虽然很低在最后一位，但是依然会造成很大程度的皮肤刺痛感。所以这款防晒霜还会刺激皮肤造成刺痛，同时还有一定程度的光毒反应，...,夏威夷热带这个牌子的产品一直是我的最爱啦！我一直是它的忠实粉丝，多年来一直坚持购买使用，肌肤的状况真是保持的很好啊！都说世界上没有丑女人只有懒女人，当然，选对适合自己的品牌就显得尤为重要啦。...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，夏威夷热带清爽无油面部防晒乳天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且...,第一次使用夏威夷热带这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！...,一点也不油，挺好...,海边必备..."
708,"感觉就是很细腻，而且非常爽滑，香味真的可以保持很久的...,抹上后很保湿，吸收快，滋润效果好。...,易吸收不油腻，不堵塞毛孔。不添加防腐剂，是个好东东...,一般般吧，味太浓了，这款好象真的象朋友说的一样挺温和的，用了三个月了，也没出现红点点...,使用后感觉皮肤比较滋润的，皮肤很有光泽，也感觉比以前有弹性了...,这个灰常滋润，不干，延展性也还好，擦在腿上腿会变白，遮瑕效果还是有的，但如果指望它强力遮盖的话还是算了哈哈。随着淡淡的幽香肌肤马上就吸收了， 而且补水保湿效果也很不错，肌肤吸收后没有任何油腻感，感觉很清...,可能对某些mm来说不耐闻。但滋润效果不错，总体来说性价比不错。...,不推荐...,很清爽，个人偏好吧 滋润效果不错，气味好闻，作为一个润肤乳很合格啦...,擦在身上很润 感觉比我之前用的所有的体乳都要好用 当然价钱也是千差万别 洗过澡之后擦身体睡了一觉香味..."
709,"水润奶油肌，光泽度一级棒，瑕疵遮盖了80％，就是夏天用太油了，冬天对于混合肌刚刚好。...,挺好的，满意。比那个阿玛尼，dior的好...,混油皮，妆前常规使用防晒霜，一般是安耐晒金管spf50，这只和防晒不是很搭，也可能是我皮肤原因，脱妆速度比较快。...,属于遮盖力很强的粉底，肌肤状态不好的时候用起来简直就是变了个人，马上白富美。缺点是妆感就有点厚，不如阿玛尼透明和自然，冬天会有点点干。...,官网入手的，我入的br20本身我是比普通人群看起来白一点的，但是用这个色号还是会显得更白，估计b20会比较适合大众。我是混合型皮肤，3小时左右妆容看上去特别美好。6小时鼻子会开始出油，8小时鼻子就油的特别厉害需...,这一只口碑很好，但是不适合我，我用这个脱妆超级快。...,很好用。...,这款算是好用的粉底液购买色号b10，很滋润，秋冬用液OK。对比下rmk这款没有介绍里说的那神奇，购买的202色号，没有很惊喜，图片大家自己感受，最后一张是涂抹20分钟后的效果，ysl比较润白。...,这款全是好用的粉底液购买色号b10，很滋润，秋冬用液OK。对比下rmk这款没有介绍里说的那神奇，购买的202色号，没有很惊喜，图片大家自己感受，最后一张是涂抹20分钟后的效果，ysl比较润白。...,感觉现在闺蜜网的测评越来越华而不实了，绝大部分都是好评，所以呢，刚拿到这个粉底液的时候还是蛮期待的，结果却挺失望的。我是混油白皮，而且有向油皮发展的趋势，所以我对肤感要求比较高。这款粉底液很厚重，擦上..."
711,"贞采源的柔肤水是跟那个祛痘修复的一起买的，真的很不好用，补水效果还好，不过混油皮我还是乖乖选个爽肤水吧，用着感觉有点油腻了。...,我是干性肌肤，网上很多大人都说用柔肤水比较合适，之前傻傻的用爽肤水。 旗舰店的客服推荐的这款柔肤水，用了感觉还不错哦，润润的，想如果是油性肌肤用的话可能真的会油哦···...,真好，不错...,挺好的...,赞一个...,还行吧...,朋友送的...,【谁说“闺蜜”不“女人”？】818自己的护肤品吧        还不错，滋润型的水，夏季用了水都不用乳液了。大一时候用的。   没有什么香味，简单补水保湿，皮肤稳定。那个时候真是什么都敢用啊。 ...,最近正在使用贞采源保湿活颜柔肤水，特喜欢贞采源家族护肤品，每一款都很有针对性，特别给力。非常适合25岁左右及40岁以下的女性使用。...,爱这款..."
712,"客服美眉说她美眉之前就是用了这款眼霜，脂肪粒都慢慢好了，我也就试试 用第二支了，黑眼圈和眼袋都不这么明显了，重要的是脂肪粒真的有变小了，不能说全是这款眼霜的功劳，因为我也按时睡觉，做按摩，但至少做的写算...,满满的一支眼霜，能用好久咧！性价比极高！ 朋友推荐购买的，没让我失望，用上感觉凉凉的，一点都不粘腻，按摩一下眼周，很舒服，一下子就能吸收了，坚持用一个星期，黑眼圈淡了一点哦，坚持用下去希望把我的眼袋也带...,清爽，也很容易吸收，坚持使用一周，黑眼圈有改善 主要是不粘腻，不辣眼睛，一点压力么有...,可能是我肌肤太干了，按摩一下下就吸收进去，眼周润润的，很舒服。 一只快用完，黑眼圈好了很多，眼袋也消了点。客服说脂肪粒也能消，不过我没有脂肪粒。 推荐给姐妹们 哦！...,睡眠质量不好，导致眼袋和黑眼圈都挺明显的。用了一个星期左右吧，每天早晚都用，改善很多，至少看起来不那么明显了，主要是没什么异物感，图上直接睡觉没啥感觉。继续用吧，希望能完全消除了眼袋和黑眼圈...,不知道什么时候开始有这么明显的黑眼圈了，大概是一不小心就过了12点才睡觉的后果吧。在天猫上逛逛看上了这款眼霜，抱着试一试的态度入手的。结果没让我失望，坚持半个多月天天晚上睡前半个小时用，黑眼圈淡了很多哦...,作为一个电脑工作者，熬夜是经常的事。这黑眼圈和眼袋真是无法直视了，每天得带上眼睛掩护。在网店瞎逛，看中这款眼霜，评价还不错就入手试试。 没让我失望！每天早晚用上一点，两个星期了，明显看到黑眼圈和细纹都淡...,灰常好...,缔造紧致光滑的细致眼周肌肤。...,看广告心里长草买的，还不错。..."
713,"开口大小正好很容易挤压，出来是透明的膏状，有一种特别的气味。涂在手背上比较黏黏的，搓几下就会有角质下来了。之后一定要用清水洗干净，有些角质粘附在汗毛上要留意的哟~洗出来手背就光滑多了，又白又嫩哈哈！...,补水效果很好，延展性也不错，温和水润的配方，很好的呵护肌肤，嫩白肌肤锁水效果很好，提升肌肤紧致度。...,这个啫喱的质地还不错，可还是有香精味。价格也不贵 能够把脸洗得很干净 但是美白效果当然没好到哪里去，是用了他们家的爽肤水才买这的，还成。...,洁面后，擦干脸上的水分，干爽才行，不能有水分。把啫喱点在鼻头、两颊、下巴、额头，均匀抹开，轻拍，就变水了，慢慢搓，就可以搓出角质来了。一两分钟就可以用清水洗掉了。 用过很多款去角质了，觉得这款比较好清洗...,买面膜赠送的中样，挤出来是啫哩状的，抹在脸上轻拍一下就变水了，慢慢搓，均匀搓，很容易洗掉，洗前和洗后的触摸感有明显对比，洗后嫩了一点，肤色好像也亮了点（可能心理作用哈）不管怎么样，我很满意这款去角质...,挤出一点在手背上，冰凉冰凉的，轻轻涂开后就变水了，加大点力打圈圈，慢慢角质就出来了。很容易洗干净。过了10分钟感觉润润。比之前用过某些大牌好多了。楼上说搓出来的是胶，其实你可以对比一下使用就知道了，第一...,这个不错的...,就用这个一直都是...,赞一个...,喜欢这个品牌..."
714,"请问：贞采源是正品吗？有没售后电话，可货到付款，验收后再付吗？...,上个月去海南了一趟，就网购了这款防晒乳液。 看到前面有些姐妹说不好推开，在抹防晒霜之前要抹一点润肤乳比较好，本身防晒霜不是很润的。这款防晒是还是很有用的，2月份海南的天气大家是知道的。我两三个小时补一次...,屈臣氏的导购说买一送一很划算，就入了两瓶，之后去屈臣氏，发现这玩意儿永远都在买一送一！根本就只值这么多嘛~闻起来是挺清爽的，可实际的膏体偏厚，而且偏白，不好推开。我是油皮，这种质地的膏体不敢往脸上用，拿...,建议大家以后去屈臣氏不要听那些售货员的""蜜语"".反正我是被忽悠了，而且没用过的，连拆也没有拆还不准退货！！还是自己上网找准品牌再买吧...,质地清爽个毛线，油死了，我脸的皮肤算是干性的了。但是抹完油光满面，油都快滴下来一样，...,被屈臣氏的售货员骗咯，还说搞活动79两支，见她那么仁慈，，就信了。原来两支都是用过的，有一支还只用剩一半左右，回到家一看，瓶子都是瘪的，给二手货我！！！...,春夏来临，阳光明媚，最适合到大自然的怀抱里尽情舒展，赏花、登山游玩、探险的美好时光一定不容错过。想要去马尔代夫度过悠长假期；想要去江南古镇体验小桥流水人家；想要短途踏青欣赏春花烂漫…… 然而，春夏游有险...,我皮肤容易长斑呀，想买个防晒霜，因为是油性皮肤，所以想买个清爽型的，本来打算买新碧的，结果被屈臣氏大妈忽悠的，还说是搞活动，79两只，结果涂在脸上白白的，有点油，然后就不爽了，并且不止我一个人这么认为呀...,本人敏感皮，新碧用着都过敏，这个没事。确实很油，不过搭配控油的粉底反而刚刚好，不爆皮。没被晒黑也是真的。一分钱一分货，也不用有太高的期待。涂上去比较白，反正就当修容了~还算喜欢~...,屈臣氏售货员介绍的，本来不想买的，看着比较优惠又方便，说可以保持8小时防晒的，物理防晒。那些2 3小时就要补一次。回来后用了根本不防水防汗，天太热一出多点汗脸上就白块黑块的。刚擦的时候好白又不怎么好擦特别..."
715,"膏体粉嫩嫩的挺好看，不过涂在脸上黏黏的，手上也黏黏的，效果也就是一点补水吧。……...,亿元秒杀，必须得瑟一下 洗完后，脸还是香香的红酒味，效果还不错哦~ 之前我就有用红酒来敷过面膜，脸润润的嫩嫩的，希望这个面膜继续用下去能给我惊喜...,很好 推荐给大家...,灰常好...,挺好的...,效果很好...,非常好...,向大家推荐一款平价又好用的贞采源红酒美白保湿面膜，性价比很高，效果绝对可以媲美大牌。...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，贞采源红酒美白保湿面膜天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻...,用了之后感觉就很好，而且毛孔真的有变小的．用完后有滑滑的感觉..."
